System,CarLike
Controller,Stanley_CTRL
dt,0.1
state_init,[ 4.          4.         -1.57318531]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,4.0,4.0,-1.5731853071795863,3224.749120107257,322.47491201072575,-0.22000000000000003,-0.284
0.0011,4.0000004718951345,4.000199947360293,-1.5731269443650162,3224.907623233131,644.9656743340388,-0.22000000000000003,-0.284
0.0111,4.00000489287673,4.002399942880425,-1.5724847861760507,3226.651528608252,967.630827194864,-0.22000000000000003,-0.284
0.0611,4.000005806579332,4.013399938117438,-1.5692739952312231,3235.3687603160324,1291.1677032264672,-0.22000000000000003,-0.284
0.1111,3.999971401652809,4.024399879587745,-1.5660632042863956,3244.0821000848173,1615.575913234949,1,2.0259401028073585
0.16110000000000002,3.9981293170338246,3.9797017578720517,-1.6586216355001715,3209.8166690310177,1936.5575801380508,1.0,2.0259401028073585
0.2111,3.9912093056494795,3.9302048915620738,-1.7607844299676756,3168.629839204311,2253.420564058482,1,2.450159058608155
0.2611,3.980451375838117,3.8812730468464816,-1.807711303598976,3123.505563530448,2565.7711204115267,1.0,2.450159058608155
0.3111,3.967713840248808,3.832926399094431,-1.8490987582352416,3077.599452074766,2873.531065619003,1.0,2.450159058608155
0.3611,3.9529868388049474,3.7851481761238945,-1.8904862128715072,3031.0845475084902,3176.639520369852,1,2.874803663853768
0.41109999999999997,3.936786493890547,3.7378260205711658,-1.9083949229657702,2983.3828376738056,3474.977804137233,1.0,2.84
0.46109999999999995,3.919859156095116,3.690779077701052,-1.9239490311718668,2935.730399147326,3768.550844051965,1.0,2.84
0.5111,3.902202122142034,3.644001104783833,-1.9395031393779634,2888.2092696481286,4057.371771016778,1,3.0783104016141216
0.5611,3.8838196637163844,3.5975034185995334,-1.95505724758406,2840.8310911238477,4341.454880129163,1.0,2.84
0.6111000000000001,3.864716228001859,3.551297268119696,-1.9706113557901566,2793.6074721092245,4620.8156273400855,1,3.2178734023354982
0.6611000000000001,3.8448964366048726,3.5053938317859714,-1.9861654639962532,2746.5499849177127,4895.4706258318565,1.0,2.84
0.7111000000000002,3.824365084436478,3.459804214805767,-2.00171957220235,2699.6701628418373,5165.4376421160405,1,3.363237370285869
0.7611000000000002,3.8031271385523557,3.414539446465617,-2.017273680408447,2652.9794973630014,5430.735591852341,1.0,2.84
0.8111000000000003,3.7811877369511566,3.369610477462916,-2.0328277886145436,2606.489435371402,5691.384535389481,1,3.5115201974691828
0.8611000000000003,3.7585521873314898,3.3250281772566685,-2.0483818968206404,2560.211376396738,5947.405673029155,1.0,2.84
0.9111000000000004,3.7352259658078553,3.2808033314378906,-2.0639360050267372,2514.156669850376,6198.821340014192,1,3.659363971732117
0.9611000000000004,3.7112147155858333,3.2369466391203,-2.079490113232834,2468.336612279635,6445.655001242156,1.0,2.84
1.0111000000000003,3.686524245596849,3.1934687103519304,-2.0950442214389304,2422.7624446348705,6687.931245705643,1.0,2.84
